UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1472724008,9/1/2016 12:00:00 AM,00:00:08,2.58,51,30.43,103,77.27,11.25,06:07:00,18:38:00
1472724310,9/1/2016 12:00:00 AM,00:05:10,2.83,51,30.43,103,153.44,9.0,06:07:00,18:38:00
1472725206,9/1/2016 12:00:00 AM,00:20:06,2.16,51,30.43,103,142.04,7.87,06:07:00,18:38:00
1472725505,9/1/2016 12:00:00 AM,00:25:05,2.21,51,30.43,103,144.12,18.0,06:07:00,18:38:00
1472725809,9/1/2016 12:00:00 AM,00:30:09,2.25,51,30.43,103,67.42,11.25,06:07:00,18:38:00
1472726704,9/1/2016 12:00:00 AM,00:45:04,2.15,51,30.43,103,67.85,4.5,06:07:00,18:38:00
1472727006,9/1/2016 12:00:00 AM,00:50:06,2.07,51,30.43,103,156.58,1.12,06:07:00,18:38:00
1472727304,9/1/2016 12:00:00 AM,00:55:04,2.06,52,30.43,103,69.98,7.87,06:07:00,18:38:00
1472727607,9/1/2016 12:00:00 AM,01:00:07,2.1,52,30.43,103,92.15,4.5,06:07:00,18:38:00
1472727905,9/1/2016 12:00:00 AM,01:05:05,2.07,52,30.42,103,68.17,4.5,06:07:00,18:38:00
1472728206,9/1/2016 12:00:00 AM,01:10:06,2.1,51,30.42,103,158.06,4.5,06:07:00,18:38:00
1472728514,9/1/2016 12:00:00 AM,01:15:14,2.4,51,30.42,103,39.69,3.37,06:07:00,18:38:00
1472728803,9/1/2016 12:00:00 AM,01:20:03,2.06,51,30.42,103,183.01,7.87,06:07:00,18:38:00
1472729106,9/1/2016 12:00:00 AM,01:25:06,3.55,51,30.42,103,112.42,4.5,06:07:00,18:38:00
1472729408,9/1/2016 12:00:00 AM,01:30:08,3.63,52,30.41,103,79.47,3.37,06:07:00,18:38:00
1472729704,9/1/2016 12:00:00 AM,01:35:04,3.76,52,30.41,103,134.44,10.12,06:07:00,18:38:00
1472730007,9/1/2016 12:00:00 AM,01:40:07,3.25,52,30.42,103,81.23,3.37,06:07:00,18:38:00
1472730308,9/1/2016 12:00:00 AM,01:45:08,3.9,52,30.41,103,270.48,5.62,06:07:00,18:38:00
1472730643,9/1/2016 12:00:00 AM,01:50:43,3.13,51,30.41,103,170.97,5.62,06:07:00,18:38:00
1472730904,9/1/2016 12:00:00 AM,01:55:04,3.37,51,30.42,103,66.06,5.62,06:07:00,18:38:00
1472731205,9/1/2016 12:00:00 AM,02:00:05,3.51,51,30.41,103,135.75,14.62,06:07:00,18:38:00
1472731505,9/1/2016 12:00:00 AM,02:05:05,2.84,51,30.41,103,127.54,12.37,06:07:00,18:38:00
1472731809,9/1/2016 12:00:00 AM,02:10:09,3.26,51,30.41,103,158.09,4.5,06:07:00,18:38:00
1472732103,9/1/2016 12:00:00 AM,02:15:03,2.57,51,30.41,103,131.57,12.37,06:07:00,18:38:00
1472732408,9/1/2016 12:00:00 AM,02:20:08,2.58,51,30.41,103,166.75,7.87,06:07:00,18:38:00
1472732706,9/1/2016 12:00:00 AM,02:25:06,3.24,51,30.4,103,109.84,9.0,06:07:00,18:38:00
1472733006,9/1/2016 12:00:00 AM,02:30:06,2.87,51,30.4,103,143.65,14.62,06:07:00,18:38:00
1472733310,9/1/2016 12:00:00 AM,02:35:10,2.52,51,30.4,103,105.55,5.62,06:07:00,18:38:00
1472733609,9/1/2016 12:00:00 AM,02:40:09,2.74,51,30.4,103,117.72,11.25,06:07:00,18:38:00
1472733904,9/1/2016 12:00:00 AM,02:45:04,2.3,51,30.4,103,119.72,12.37,06:07:00,18:38:00
1472734207,9/1/2016 12:00:00 AM,02:50:07,2.25,51,30.4,103,164.35,9.0,06:07:00,18:38:00
1472734504,9/1/2016 12:00:00 AM,02:55:04,2.12,51,30.4,103,156.3,2.25,06:07:00,18:38:00
1472735105,9/1/2016 12:00:00 AM,03:05:05,1.94,51,30.4,103,87.85,4.5,06:07:00,18:38:00
1472735406,9/1/2016 12:00:00 AM,03:10:06,2.03,51,30.4,103,77.73,7.87,06:07:00,18:38:00
1472735706,9/1/2016 12:00:00 AM,03:15:06,2.26,51,30.4,103,90.87,1.12,06:07:00,18:38:00
1472736008,9/1/2016 12:00:00 AM,03:20:08,2.27,51,30.4,103,78.56,9.0,06:07:00,18:38:00
1472736312,9/1/2016 12:00:00 AM,03:25:12,2.63,51,30.4,103,69.28,2.25,06:07:00,18:38:00
1472736605,9/1/2016 12:00:00 AM,03:30:05,2.93,51,30.4,103,78.66,4.5,06:07:00,18:38:00
1472736907,9/1/2016 12:00:00 AM,03:35:07,2.59,51,30.4,103,51.52,5.62,06:07:00,18:38:00
1472737208,9/1/2016 12:00:00 AM,03:40:08,2.83,51,30.4,102,97.24,6.75,06:07:00,18:38:00
1472737507,9/1/2016 12:00:00 AM,03:45:07,2.17,51,30.4,102,80.72,6.75,06:07:00,18:38:00
1472737804,9/1/2016 12:00:00 AM,03:50:04,2.12,50,30.4,102,101.26,9.0,06:07:00,18:38:00
1472738112,9/1/2016 12:00:00 AM,03:55:12,2.02,50,30.4,102,168.14,3.37,06:07:00,18:38:00
1472738404,9/1/2016 12:00:00 AM,04:00:04,1.69,50,30.4,102,130.43,10.12,06:07:00,18:38:00
1472738707,9/1/2016 12:00:00 AM,04:05:07,2.03,49,30.4,102,145.36,7.87,06:07:00,18:38:00
1472739003,9/1/2016 12:00:00 AM,04:10:03,3.35,49,30.4,102,67.42,7.87,06:07:00,18:38:00
1472739304,9/1/2016 12:00:00 AM,04:15:04,2.34,49,30.41,102,133.75,9.0,06:07:00,18:38:00
1472739604,9/1/2016 12:00:00 AM,04:20:04,2.2,49,30.41,102,112.54,9.0,06:07:00,18:38:00
1472739903,9/1/2016 12:00:00 AM,04:25:03,2.63,49,30.41,102,125.24,12.37,06:07:00,18:38:00
1472740203,9/1/2016 12:00:00 AM,04:30:03,3.2,49,30.41,102,150.52,5.62,06:07:00,18:38:00
1472740504,9/1/2016 12:00:00 AM,04:35:04,2.85,49,30.41,102,121.97,6.75,06:07:00,18:38:00
1472740807,9/1/2016 12:00:00 AM,04:40:07,2.38,49,30.41,102,132.09,6.75,06:07:00,18:38:00
1472741108,9/1/2016 12:00:00 AM,04:45:08,2.67,49,30.41,102,94.79,1.12,06:07:00,18:38:00
1472741407,9/1/2016 12:00:00 AM,04:50:07,3.22,49,30.41,102,80.05,2.25,06:07:00,18:38:00
1472741705,9/1/2016 12:00:00 AM,04:55:05,2.73,49,30.41,102,123.83,16.87,06:07:00,18:38:00
1472742011,9/1/2016 12:00:00 AM,05:00:11,1.61,49,30.42,102,155.32,3.37,06:07:00,18:38:00
1472742305,9/1/2016 12:00:00 AM,05:05:05,1.85,50,30.41,102,159.86,7.87,06:07:00,18:38:00
1472742609,9/1/2016 12:00:00 AM,05:10:09,1.71,50,30.41,102,127.27,10.12,06:07:00,18:38:00
1472742906,9/1/2016 12:00:00 AM,05:15:06,1.76,50,30.41,102,172.87,9.0,06:07:00,18:38:00
1472743205,9/1/2016 12:00:00 AM,05:20:05,1.73,49,30.41,102,143.95,11.25,06:07:00,18:38:00
1472743504,9/1/2016 12:00:00 AM,05:25:04,1.71,49,30.41,102,164.16,9.0,06:07:00,18:38:00
1472743807,9/1/2016 12:00:00 AM,05:30:07,1.71,49,30.41,101,152.03,11.25,06:07:00,18:38:00
1472744405,9/1/2016 12:00:00 AM,05:40:05,2.02,48,30.41,92,118.18,3.37,06:07:00,18:38:00
1472744705,9/1/2016 12:00:00 AM,05:45:05,1.87,48,30.42,86,120.92,9.0,06:07:00,18:38:00
1472745012,9/1/2016 12:00:00 AM,05:50:12,1.72,48,30.41,80,131.69,10.12,06:07:00,18:38:00
1472745607,9/1/2016 12:00:00 AM,06:00:07,4.43,49,30.41,76,169.53,6.75,06:07:00,18:38:00
1472745907,9/1/2016 12:00:00 AM,06:05:07,8.3,48,30.41,76,156.43,10.12,06:07:00,18:38:00
1472746210,9/1/2016 12:00:00 AM,06:10:10,9.09,48,30.41,72,130.7,4.5,06:07:00,18:38:00
1472746506,9/1/2016 12:00:00 AM,06:15:06,11.28,49,30.41,73,157.94,6.75,06:07:00,18:38:00
1472746810,9/1/2016 12:00:00 AM,06:20:10,13.64,49,30.41,73,150.24,13.5,06:07:00,18:38:00
1472747107,9/1/2016 12:00:00 AM,06:25:07,18.71,49,30.41,71,164.95,4.5,06:07:00,18:38:00
1472747709,9/1/2016 12:00:00 AM,06:35:09,27.94,50,30.42,76,92.89,7.87,06:07:00,18:38:00
1472748008,9/1/2016 12:00:00 AM,06:40:08,43.99,49,30.42,82,161.38,11.25,06:07:00,18:38:00
1472748308,9/1/2016 12:00:00 AM,06:45:08,53.19,49,30.42,90,92.24,5.62,06:07:00,18:38:00
1472748608,9/1/2016 12:00:00 AM,06:50:08,43.18,49,30.42,90,106.62,11.25,06:07:00,18:38:00
1472749206,9/1/2016 12:00:00 AM,07:00:06,51.8,49,30.42,78,151.26,12.37,06:07:00,18:38:00
1472749506,9/1/2016 12:00:00 AM,07:05:06,63.75,50,30.42,76,112.56,6.75,06:07:00,18:38:00
1472749809,9/1/2016 12:00:00 AM,07:10:09,62.49,50,30.42,78,158.97,13.5,06:07:00,18:38:00
1472750105,9/1/2016 12:00:00 AM,07:15:05,87.65,50,30.43,78,153.19,9.0,06:07:00,18:38:00
1472750405,9/1/2016 12:00:00 AM,07:20:05,92.24,50,30.43,81,104.53,3.37,06:07:00,18:38:00
1472751305,9/1/2016 12:00:00 AM,07:35:05,155.07,50,30.43,92,97.22,2.25,06:07:00,18:38:00
1472751605,9/1/2016 12:00:00 AM,07:40:05,242.53,51,30.44,94,57.78,6.75,06:07:00,18:38:00
1472752207,9/1/2016 12:00:00 AM,07:50:07,146.12,51,30.44,95,21.02,2.25,06:07:00,18:38:00
1472752505,9/1/2016 12:00:00 AM,07:55:05,183.46,51,30.44,96,123.96,5.62,06:07:00,18:38:00
1472753404,9/1/2016 12:00:00 AM,08:10:04,406.11,51,30.45,99,141.67,4.5,06:07:00,18:38:00
1472753706,9/1/2016 12:00:00 AM,08:15:06,449.0,52,30.45,93,119.67,13.5,06:07:00,18:38:00
1472754007,9/1/2016 12:00:00 AM,08:20:07,555.78,53,30.45,82,107.81,12.37,06:07:00,18:38:00
1472754304,9/1/2016 12:00:00 AM,08:25:04,587.37,53,30.45,78,204.79,3.37,06:07:00,18:38:00
1472754605,9/1/2016 12:00:00 AM,08:30:05,386.25,54,30.45,74,34.72,4.5,06:07:00,18:38:00
1472754906,9/1/2016 12:00:00 AM,08:35:06,633.24,53,30.45,72,133.06,10.12,06:07:00,18:38:00
1472755209,9/1/2016 12:00:00 AM,08:40:09,234.56,54,30.45,73,27.41,7.87,06:07:00,18:38:00
1472755808,9/1/2016 12:00:00 AM,08:50:08,462.71,53,30.45,75,170.1,3.37,06:07:00,18:38:00
